orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,event
0xc9868103fb22cc0a82e57b372e824c103753652d6b1ae97e4682906a1f7cf82f,0x6356fb47642a028bc09df92023c35a21a0b41885,0xeaf404bc0e1be1f4c793b9e504cd15f372fcab67,134693292398004842022011930176930561172515243700918880275318978366775314692,23067955277746585807039532169699544142643629757608081117235690564076443795456,195312,57896044618658097711785492504343953926634992332820282019728792003956564935202,43422033463993573283839119378257965444976244249615211514796594002967423614976,OrderFilled
0x26cf8023e7da8dde89123eda4075f401165b509408c3891b751c26f797f211e6,0xeaf404bc0e1be1f4c793b9e504cd15f372fcab67,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,134693292398004842022011930176930561172515243700918880275318978366775314692,23067955277746585807039532169699544142643629757608081117235690564076443910690,43422033463993573283839119378257965444976244249615211514796594002967423810288,57896044618658097711785492504343953926634992332820282019728792003956564819968,OrderFilled
0x13769004ee47f260db51709a30fb50d2a3459d545c20fc4f17a66efb3696c4c1,0x7789806c754eb0af4c3abeb026c218b4ba78f823,0xf4a866270f29a5aa6cf0d168329076e64e4f0858,134693292398004842022011930176930561172515243700918880275318978366775314692,23067955277746585807039532169699544142643629757608081117235690564076443795456,60096,17640201094747389146559642247417298462021599226406179677886116313705515882646,57443731770074831323412168344153766786583156455220123566449660816425654157312,OrderFilled
0x688f4f1cbe297d57670e240090747de8c2a237cce206642ede3a3b1fd8d27bef,0xf4a866270f29a5aa6cf0d168329076e64e4f0858,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,134693292398004842022011930176930561172515243700918880275318978366775314692,23067955277746585807039532169699544142643629757608081117235690564076443834518,57896044618658097711785492504343953926634992332820282019728792003956564880064,17640201094747389146559642247417298462021599226406179677886116313705515843584,OrderFilled
0x40cc6fbf92a4bb2807261cd61149112b571463e75ebd946da596c24f6c5fe60a,0xda44c444dc63d3d3719c8b2da410bd52708f2b09,0xbb5ffba56a975eafb1eee8824fdf1c70ff7f640b,0,315792566532897902612907399449938326642502388734277560250247018969275388434,72822368621905888528105189790620129548345576293625510977940121192476616694884,68299240136073224644371948188718258147827217517623926445148809317167510095668,38446592129577643011732553616165906904406049596013468528726150940127406325760,OrderFilled
0xab5562e65f19feaf36d8464ba0a82267eb2bc85b254d884a36f492cbbe8a9a36,0xbb5ffba56a975eafb1eee8824fdf1c70ff7f640b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,137247692766270689583694410750663629598136848426333647800212657472998246589,92271821110986343228158128678798176570574519030432324468942762256305775209167,85939441230820613790931590436135556609848816744030106123034925630873025939252,38446592129577643011732553616165906904406049596013468528726150940127406325760,OrderFilled
0x2260d4db226e572e986642eea9fa0b6fc3192bae2a94fb4d4ef3b5daa6b8a985,0x8a4c788f043023b8b28a762216d037e9f148532b,0x64288d780f518cedc4fbfcb1824a2fda7e0a88a6,0,137247692766270689583694410750663629598136848426333647800212657472998246589,92271821110986343228158128678798176570574519030432324468942762256305775974079,56086793224325032158292195863583205366427648822419648206612267253832923211785,49302100495576036332692333460730398265650110658417271407425299440869262229504,OrderFilled
0xa5fa05d85ef2da7f69628c294f49fc49894f07f229fa10175056745db66c7a8f,0x8a4c788f043023b8b28a762216d037e9f148532b,0x64288d780f518cedc4fbfcb1824a2fda7e0a88a6,0,137247692766270689583694410750663629598136848426333647800212657472998246589,92271821110986343228158128678798176570574519030432324468942762256305775832602,56991418921491564935038844183963579646531320577619965113170529628894744362360,75988558561988753246718458911951439528708427436826620150894039505192991326208,OrderFilled
0x0983980923cb89a7605dd959d4d793dd8511c1de1b9ef40e53cfe2c2618566f0,0x64288d780f518cedc4fbfcb1824a2fda7e0a88a6,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,315792566532897902612907399449938326642502388734277560250247018969275388434,72822368621905888528105189790620129548345576293625510977940121192476617154728,12664759760331458874453076485325239921451404572804436691815673250865500464514,9498569820248594155839807363993929941088553429603327518861754938149123915776,OrderFilled
0x6fa856371664128bb45694f03fad3df6f17186a09eb794bff771d225ec9e0d65,0x30e443872ddf63b2908a49f92cd690c304a55102,0x83c56c56bc67c0b99b38abd1c0a3c1aca7a7e193,29294182706402347421201018820735191884095666708374564266766612179897655362,23067955277746585807039532169699544142643629757608081117235690564076443795456,781250,500000,0,OrderFilled
