event,blockNumber,txIndex,orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,data
OrderFilled,37906332,55,0x811cb2682587342f8cc0130ad7a69166dfbfe9718f4357831295d9fbc0961231,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0x1c7062317db04c1d1b5a06682b79f4ce51575aa7,0,62967343644001571223328834674800489901536335509964710054658772388672665324223,10800000,15000000,0,00000000000000000000000000000000000000000000000000000000000000008b3640e75e27934b20dbdcf3278bf9bb3bb153bc21bcd738b363c02669888abf0000000000000000000000000000000000000000000000000000000000a4cb800000000000000000000000000000000000000000000000000000000000e4e1c00000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37906355,50,0xd041f2d38a9fb7be9c8a1c7973c24d01dac67c98df50f0ff0637966bf10dd54f,0x3d337b38456ce815325e623ca2ab136b8fcb4414,0x1c7062317db04c1d1b5a06682b79f4ce51575aa7,62967343644001571223328834674800489901536335509964710054658772388672665324223,0,15000000,12300000,0,8b3640e75e27934b20dbdcf3278bf9bb3bb153bc21bcd738b363c02669888abf00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4e1c00000000000000000000000000000000000000000000000000000000000bbaee00000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37906496,95,0xd041f2d38a9fb7be9c8a1c7973c24d01dac67c98df50f0ff0637966bf10dd54f,0x3d337b38456ce815325e623ca2ab136b8fcb4414,0x1c7062317db04c1d1b5a06682b79f4ce51575aa7,62967343644001571223328834674800489901536335509964710054658772388672665324223,0,21951218,17999998,0,8b3640e75e27934b20dbdcf3278bf9bb3bb153bc21bcd738b363c02669888abf000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014ef2f2000000000000000000000000000000000000000000000000000000000112a87e0000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37906682,44,0xaaf6ca7c116d987813dd3e477e30162581a787e43e5434b5eacbb6d39811b28e,0x3077107aec4fdb39386b1513dfbed2b088ea02b3,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0,82605074636298019650875866528882317585922531397163514824755769999593709272661,390530000,398500000,0,0000000000000000000000000000000000000000000000000000000000000000b6a0d0bd3083270015b350fa3b76e2d206572fe3ac727a0f3197c3507d287e5500000000000000000000000000000000000000000000000000000000174703d00000000000000000000000000000000000000000000000000000000017c0a0a00000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37906682,44,0x278f22d69c506b0906001335a26db0b9de8c3ba35de232bf31f92bf59c98bd8b,0x8a4c788f043023b8b28a762216d037e9f148532b,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0,82605074636298019650875866528882317585922531397163514824755769999593709272661,99470000,101500000,0,0000000000000000000000000000000000000000000000000000000000000000b6a0d0bd3083270015b350fa3b76e2d206572fe3ac727a0f3197c3507d287e550000000000000000000000000000000000000000000000000000000005edcab000000000000000000000000000000000000000000000000000000000060cc4600000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37906689,17,0x278f22d69c506b0906001335a26db0b9de8c3ba35de232bf31f92bf59c98bd8b,0x8a4c788f043023b8b28a762216d037e9f148532b,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0,82605074636298019650875866528882317585922531397163514824755769999593709272661,343000000,350000000,0,0000000000000000000000000000000000000000000000000000000000000000b6a0d0bd3083270015b350fa3b76e2d206572fe3ac727a0f3197c3507d287e55000000000000000000000000000000000000000000000000000000001471c3c00000000000000000000000000000000000000000000000000000000014dc93800000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37907303,39,0x4ffd29f496890410cfec8f249b836f7c4a0bc38128554e8f76afbfa36f91a28f,0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2,0x9a080a771653d1c9ce210d075e0a895809ea2523,0,51623468901331114256978022861574794579186031482980884789775983427930188375445,13235200,88234666,0,00000000000000000000000000000000000000000000000000000000000000007221d913afb6b92df3b21b07c2603cb3a6b9274ee8fbe0d197fd274f6fef65950000000000000000000000000000000000000000000000000000000000c9f4000000000000000000000000000000000000000000000000000000000005425aaa0000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37907303,39,0x29248d079b55de3e5ed5907bebb480845e6c7ab7d4caac12411dcca857d52355,0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2,0x9a080a771653d1c9ce210d075e0a895809ea2523,0,51623468901331114256978022861574794579186031482980884789775983427930188375445,15000000,100000000,0,00000000000000000000000000000000000000000000000000000000000000007221d913afb6b92df3b21b07c2603cb3a6b9274ee8fbe0d197fd274f6fef65950000000000000000000000000000000000000000000000000000000000e4e1c00000000000000000000000000000000000000000000000000000000005f5e1000000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37907303,39,0xb36446ff123aba60e58fcaffabb4b3332ab2da142d084e13b22669bd08ed1c7a,0x7a81d5d0bd724ebd82979a83309eb29dc2286d56,0x9a080a771653d1c9ce210d075e0a895809ea2523,0,51623468901331114256978022861574794579186031482980884789775983427930188375445,5000000,50000000,0,00000000000000000000000000000000000000000000000000000000000000007221d913afb6b92df3b21b07c2603cb3a6b9274ee8fbe0d197fd274f6fef659500000000000000000000000000000000000000000000000000000000004c4b400000000000000000000000000000000000000000000000000000000002faf0800000000000000000000000000000000000000000000000000000000000000000
OrderFilled,37907303,39,0xaa6ee0c3b6b7d4a7455fe51a912056bd0ac8cd5d5a7f99fad70546862c33c24d,0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,0x9a080a771653d1c9ce210d075e0a895809ea2523,0,51623468901331114256978022861574794579186031482980884789775983427930188375445,21733569,241484100,0,00000000000000000000000000000000000000000000000000000000000000007221d913afb6b92df3b21b07c2603cb3a6b9274ee8fbe0d197fd274f6fef659500000000000000000000000000000000000000000000000000000000014ba0c1000000000000000000000000000000000000000000000000000000000e64c1440000000000000000000000000000000000000000000000000000000000000000
